file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_ALRN_2018.parquet,ok,385,0,9.9,
NASDAQ_ALRN_2019.parquet,ok,309,0,5.0,
NASDAQ_ALRN_2020.parquet,ok,232,0,5.0,
NASDAQ_ALRN_2021.parquet,ok,228,0,2.5,
NASDAQ_ALRS_2017.parquet,ok,62,0,2.5,
NASDAQ_ALRS_2018.parquet,ok,19,0,1.7,
NASDAQ_ALRS_2019.parquet,ok,254,0,3.9,
NASDAQ_ALRS_2020.parquet,ok,270,0,26.0,
NASDAQ_ALRS_2021.parquet,ok,255,0,5.9,
NASDAQ_ALSK_2017.parquet,ok,200,0,4.0,
NASDAQ_ALSK_2018.parquet,ok,173,0,2.5,
NASDAQ_ALSK_2019.parquet,ok,156,0,2.3,
NASDAQ_ALSK_2020.parquet,ok,189,0,2.4,
NASDAQ_ALT_2017.parquet,ok,276,0,4.4,
NASDAQ_ALT_2018.parquet,ok,285,0,2.6,
NASDAQ_ALT_2019.parquet,ok,302,0,10.1,
NASDAQ_ALT_2020.parquet,ok,335,0,2.9,
NASDAQ_ALT_2021.parquet,ok,314,0,2.4,
NASDAQ_ALTM_2018.parquet,ok,612,0,6.7,
NASDAQ_ALTM_2019.parquet,ok,229,0,8.5,
NASDAQ_ALTR_2017.parquet,ok,198,0,3.2,
NASDAQ_ALTR_2018.parquet,ok,223,0,2.5,
NASDAQ_ALTR_2019.parquet,ok,232,0,2.7,
NASDAQ_ALTR_2020.parquet,ok,208,0,2.3,
NASDAQ_ALTR_2021.parquet,ok,201,0,2.2,
NASDAQ_ALXN_2015.parquet,ok,260,0,4.3,
NASDAQ_ALXN_2016.parquet,ok,312,0,2.4,
