pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/Norwegian-Cruise-Line-Holdings-Ltd/NASDAQ_NCLH_2017.pdf,ok,26.8,173,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Norwegian-Cruise-Line-Holdings-Ltd/NASDAQ_NCLH_2019.pdf,ok,37.8,177,10-K,False,53,
../downolad_files\data/nasdaq_annual_reports/Norwegian-Cruise-Line-Holdings-Ltd/NASDAQ_NCLH_2020.pdf,ok,43.8,229,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Paratek-Pharmaceuticals/NASDAQ_PRTK_2018.pdf,ok,81.3,289,10-K,False,35,
../downolad_files\data/nasdaq_annual_reports/Paratek-Pharmaceuticals/NASDAQ_PRTK_2019.pdf,ok,95.4,375,10-K,False,33,
../downolad_files\data/nasdaq_annual_reports/Paratek-Pharmaceuticals/NASDAQ_PRTK_2017.pdf,ok,117.7,365,10-K,False,41,
../downolad_files\data/nasdaq_annual_reports/T2-biosystems/NASDAQ_TTOO_2018.pdf,ok,54.8,35,10-K,False,1,
../downolad_files\data/nasdaq_annual_reports/Tile-shop-holdings/NASDAQ_TTS_2018.pdf,ok,57.9,153,10-K,False,45,
../downolad_files\data/nasdaq_annual_reports/T2-biosystems/NASDAQ_TTOO_2019.pdf,ok,100.6,311,10-K,False,46,
../downolad_files\data/nasdaq_annual_reports/Paratek-Pharmaceuticals/NASDAQ_PRTK_2016.pdf,ok,224.8,692,10-K,False,51,
../downolad_files\data/nasdaq_annual_reports/T2-biosystems/NASDAQ_TTOO_2016.pdf,ok,206.7,610,10-K,True,38,
../downolad_files\data/nasdaq_annual_reports/T2-biosystems/NASDAQ_TTOO_2020.pdf,ok,111.1,320,10-K,False,49,
../downolad_files\data/nasdaq_annual_reports/Tile-shop-holdings/NASDAQ_TTS_2019.pdf,ok,38.6,127,10-K,False,35,
../downolad_files\data/nasdaq_annual_reports/Tile-shop-holdings/NASDAQ_TTS_2020.pdf,ok,35.7,193,10-K,False,46,
../downolad_files\data/nasdaq_annual_reports/Tile-shop-holdings/NASDAQ_TTS_2021.pdf,ok,15.4,128,10-K,False,25,
../downolad_files\data/nasdaq_annual_reports/T2-biosystems/NASDAQ_TTOO_2017.pdf,ok,209.6,641,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/aaon-inc/NASDAQ_AAON_2019.pdf,ok,20.5,120,,,42,
../downolad_files\data/nasdaq_annual_reports/a-mark-precious-metals/NASDAQ_AMRK_2020.pdf,ok,51.1,189,10-K,False,55,
../downolad_files\data/nasdaq_annual_reports/aaon-inc/NASDAQ_AAON_2020.pdf,ok,24.1,107,10-K,False,32,
../downolad_files\data/nasdaq_annual_reports/aaon-inc/NASDAQ_AAON_2022.pdf,ok,19.7,144,10-K,False,33,
../downolad_files\data/nasdaq_annual_reports/aaon-inc/NASDAQ_AAON_2021.pdf,ok,22.5,136,10-K,False,32,
../downolad_files\data/nasdaq_annual_reports/a-mark-precious-metals/NASDAQ_AMRK_2021.pdf,ok,84.3,215,10-K,False,59,
../downolad_files\data/nasdaq_annual_reports/a-mark-precious-metals/NASDAQ_AMRK_2019.pdf,ok,91.0,177,10-K,False,55,
