pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2018.pdf,Investors-Bancorp-Inc,"Investors Bancorp, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2019.pdf,Investors-Bancorp-Inc,"Investors Bancorp, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2016.pdf,Microstrategy,MICROSTRATEGY INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2017.pdf,Microstrategy,MICROSTRATEGY INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2020.pdf,Investors-Bancorp-Inc,"Investors Bancorp, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2018.pdf,Microstrategy,MICROSTRATEGY INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2019.pdf,Microstrategy,MICROSTRATEGY INCORPORATED,False,
../downolad_files/data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2016.pdf,Monolithic-Power-Systems-Inc,"Monolithic Power Systems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2019.pdf,Monolithic-Power-Systems-Inc,"Monolithic Power Systems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2020.pdf,Microstrategy,MICROBOT MEDICAL INC.,True,
../downolad_files/data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2017_9c9f88a34a1a4e3e91288a498c765e7c.pdf,Monolithic-Power-Systems-Inc,"Monolithic Power Systems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2020.pdf,Monolithic-Power-Systems-Inc,"Monolithic Power Systems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2018.pdf,Monolithic-Power-Systems-Inc,"Monolithic Power Systems, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2016.pdf,Norwegian-Cruise-Line-Holdings-Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,False,
../downolad_files/data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2018.pdf,Norwegian-Cruise-Line-Holdings-Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,False,
../downolad_files/data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2017.pdf,Norwegian-Cruise-Line-Holdings-Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,False,
../downolad_files/data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2015.pdf,Paratek-Pharmaceuticals,,,
../downolad_files/data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2019.pdf,Norwegian-Cruise-Line-Holdings-Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,False,
../downolad_files/data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2020.pdf,Norwegian-Cruise-Line-Holdings-Ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,False,
../downolad_files/data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2016.pdf,Paratek-Pharmaceuticals,"PARATEK PHARMACEUTICALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2017.pdf,Paratek-Pharmaceuticals,"PARATEK PHARMACEUTICALS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2018.pdf,Paratek-Pharmaceuticals,"PARATEK PHARMACEUTICALS, INC.",False,
