path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\aaon-inc\NASDAQ_AAON_2021.pdf,124,51654,198,1033,
data/nasdaq_annual_reports\aaon-inc\NASDAQ_AAON_2022.pdf,116,49043,185,980,
data/nasdaq_annual_reports\abeona-therapeutics-inc\NASDAQ_ABEO_2019.pdf,111,57820,2452,1156,
data/nasdaq_annual_reports\abeona-therapeutics-inc\NASDAQ_ABEO_2020.pdf,110,61301,112,1226,
data/nasdaq_annual_reports\abeona-therapeutics-inc\NASDAQ_ABEO_2021.pdf,164,90025,171,1800,
data/nasdaq_annual_reports\abeona-therapeutics-inc\NASDAQ_ABEO_2022.pdf,112,71501,116,1430,
data/nasdaq_annual_reports\abiomed-inc\NASDAQ_ABMD_2018.pdf,118,63785,119,1275,
data/nasdaq_annual_reports\abiomed-inc\NASDAQ_ABMD_2019.pdf,114,61916,117,1238,
data/nasdaq_annual_reports\abiomed-inc\NASDAQ_ABMD_2020.pdf,134,67561,132,1351,
data/nasdaq_annual_reports\abiomed-inc\NASDAQ_ABMD_2021.pdf,130,64099,194,1281,
data/nasdaq_annual_reports\abraxas-petroleum-corp-1\NASDAQ_AXAS_2016.pdf,117,62954,2541,1259,
data/nasdaq_annual_reports\abraxas-petroleum-corp-1\NASDAQ_AXAS_2017.pdf,160,87131,155,1742,
data/nasdaq_annual_reports\abraxas-petroleum-corp-1\NASDAQ_AXAS_2018.pdf,156,87813,152,1756,
data/nasdaq_annual_reports\abraxas-petroleum-corp-1\NASDAQ_AXAS_2021.pdf,136,78048,133,1560,
data/nasdaq_annual_reports\ac-immune\NASDAQ_ACIU_2018.pdf,307,157533,4681,3150,
data/nasdaq_annual_reports\ac-immune\NASDAQ_ACIU_2019.pdf,208,117589,2433,2351,
data/nasdaq_annual_reports\ac-immune\NASDAQ_ACIU_2020.pdf,246,136101,2648,2722,
data/nasdaq_annual_reports\ac-immune\NASDAQ_ACIU_2021.pdf,82,32606,286,652,
data/nasdaq_annual_reports\ac-immune\NASDAQ_ACIU_2022.pdf,61,44074,61,881,
data/nasdaq_annual_reports\acacia-communications-inc\NASDAQ_ACIA%20_2016.pdf,102,58149,104,1162,
data/nasdaq_annual_reports\acacia-communications-inc\NASDAQ_ACIA%20_2017.pdf,108,62327,169,1246,
